date,time,ampm,Year,Block address,District,PSA,FIELD CONTACT TYPE,REASON FOR STOP,Data Type,Race,Ethnicity,Sex,Age
1/5/17,9:10:21,PM,2017,,,,Vehicle Stop,Other,Person,Black,Not Hispanic Or Latino,Male,Juvenile
1/5/17,9:18:23,PM,2017,2400 BLOCK OF ALABAMA AVENUE SE,7D,702,Vehicle Stop,Other,Person,Black,Not Hispanic Or Latino,Male,Juvenile
1/5/17,9:24:16,PM,2017,2400 BLOCK OF ALABAMA AVENUE SE,7D,702,Vehicle Stop,Other,Person,Black,Not Hispanic Or Latino,Male,19
1/5/17,9:27:32,PM,2017,2200 BLOCK OF M STREET NW,2D,208,Vehicle Stop,Moving Violation,Person,White,Unknown,Male,29
1/5/17,9:32:57,PM,2017,3000 BLOCK OF WISCONSIN AVENUE NW,2D,204,Vehicle Stop,Moving Violation,Person,White,Not Hispanic Or Latino,Male,51
1/5/17,11:01:45,PM,2017,1500 BLOCK OF SOUTH CAPITOL STREET SE,1D,106,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,20
1/5/17,11:01:45,PM,2017,1500 BLOCK OF SOUTH CAPITOL STREET SE,1D,106,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,22
1/5/17,11:01:45,PM,2017,1500 BLOCK OF SOUTH CAPITOL STREET SE,1D,106,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,23
1/5/17,11:06:06,PM,2017,300 BLOCK OF 17TH STREET SE,1D,108,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,25
1/5/17,11:06:06,PM,2017,300 BLOCK OF 17TH STREET SE,1D,108,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,39
1/5/17,11:10:00,PM,2017,500 BLOCK OF 13TH STREET NW,1D,101,Pedestrian Stop,Pre-existing Knowledge,Person,Black,Unknown,Male,19
1/5/17,11:12:08,PM,2017,1300 BLOCK OF K STREET NW,1D,101,Pedestrian Stop,Pre-existing Knowledge,Person,Black,Unknown,Male,30
1/5/17,11:25:44,PM,2017,1500 BLOCK OF SOUTH CAPITOL STREET SE,1D,106,Vehicle Stop,Community Policing,Person,Black,Unknown,Male,19
1/5/17,11:25:44,PM,2017,1500 BLOCK OF SOUTH CAPITOL STREET SE,1D,106,Vehicle Stop,Community Policing,Person,Black,Unknown,Male,19
1/5/17,11:25:44,PM,2017,1500 BLOCK OF SOUTH CAPITOL STREET SE,1D,106,Vehicle Stop,Community Policing,Person,Black,Unknown,Male,35
1/6/17,6:02:08,PM,2017,400 BLOCK OF I ST NW,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,25
1/6/17,10:27:56,PM,2017,600 BLOCK OF MADISON STREET NE,4D,406,Vehicle Stop,Equipment Violation,Person,Black,Not Hispanic Or Latino,Male,19
1/6/17,10:27:56,PM,2017,600 BLOCK OF MADISON STREET NE,4D,406,Vehicle Stop,Equipment Violation,Person,Black,Not Hispanic Or Latino,Male,20
1/6/17,10:27:56,PM,2017,600 BLOCK OF MADISON STREET NE,4D,406,Vehicle Stop,Equipment Violation,Person,Black,Not Hispanic Or Latino,Male,29
1/6/17,10:27:56,PM,2017,600 BLOCK OF MADISON STREET NE,4D,406,Vehicle Stop,Equipment Violation,Person,Black,Not Hispanic Or Latino,Male,29
1/6/17,10:49:48,PM,2017,UNIT BLOCK OF 17TH STREET SE,1D,108,Vehicle Stop,Moving Violation,Person,Unknown,Unknown,Male,34
1/6/17,10:49:48,PM,2017,UNIT BLOCK OF 17TH STREET SE,1D,108,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,45
1/6/17,10:58:17,PM,2017,300 BLOCK OF 18TH PLACE NE,5D,507,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,27
1/6/17,11:03:52,PM,2017,1000 BLOCK OF 12TH STREET SE,1D,106,Vehicle Stop,Suspicious Activity,Person,Black,Unknown,Male,40
1/6/17,11:03:52,PM,2017,1000 BLOCK OF 12TH STREET SE,1D,106,Vehicle Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,41
1/6/17,11:10:32,PM,2017,1600 BLOCK OF ROSEDALE STREET NE,5D,507,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,18
1/6/17,11:10:32,PM,2017,1600 BLOCK OF ROSEDALE STREET NE,5D,507,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,18
1/7/17,12:14:26,AM,2017,1600 BLOCK OF K STREET NW,2D,207,Vehicle Stop,Moving Violation,Person,Asian,Not Hispanic Or Latino,Male,42
1/7/17,11:51:04,AM,2017,4600 BLOCK OF BENNING ROAD SE,6D,604,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,27
1/7/17,1:22:49,PM,2017,600 BLOCK OF 16TH STREET NE,5D,507,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,37
1/7/17,7:34:30,PM,2017,1200 BLOCK OF 20TH STREET NW,2D,208,Vehicle Stop,Moving Violation,Person,White,Unknown,Male,41
1/7/17,9:35:41,PM,2017,900 BLOCK OF WAHLER PLACE SE,7D,706,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,50
1/7/17,10:17:16,PM,2017,1200 BLOCK OF I STREET SE,1D,106,Vehicle Stop,Suspicious Vehicles,Person,Black,Not Hispanic Or Latino,Male,22
1/7/17,10:22:50,PM,2017,1500 BLOCK OF K STREET SE,1D,106,Vehicle Stop,Equipment Violation,Person,Black,Unknown,Male,42
1/7/17,10:22:50,PM,2017,1500 BLOCK OF K STREET SE,1D,106,Vehicle Stop,Equipment Violation,Person,Black,Unknown,Male,45
1/7/17,10:22:50,PM,2017,1500 BLOCK OF K STREET SE,1D,106,Vehicle Stop,Equipment Violation,Person,Black,Unknown,Male,46
1/7/17,10:38:19,PM,2017,,,,Vehicle Stop,Suspicious Vehicles,Person,Black,Unknown,Female,20
1/7/17,10:38:19,PM,2017,,,,Vehicle Stop,Suspicious Vehicles,Person,Black,Unknown,Female,22
1/7/17,10:38:19,PM,2017,,,,Vehicle Stop,Suspicious Vehicles,Person,Black,Unknown,Male,32
1/7/17,10:38:19,PM,2017,,,,Vehicle Stop,Suspicious Vehicles,Person,Black,Unknown,Male,35
1/7/17,10:39:30,PM,2017,1200 BLOCK OF PENNSYLVANIA AVENUE SE,1D,107,Bicycle Stop,Equipment Violation,Person,Black,Unknown,Male,55
1/7/17,10:44:46,PM,2017,300 BLOCK OF 17TH STREET SE,1D,108,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,55
1/7/17,10:52:24,PM,2017,,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,33
1/8/17,5:25:56,PM,2017,1100 BLOCK OF 6TH STREET NE,1D,104,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,26
1/8/17,6:02:40,PM,2017,600 BLOCK OF FLORIDA AVENUE NE,1D,104,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,22
1/8/17,6:02:40,PM,2017,600 BLOCK OF FLORIDA AVENUE NE,1D,104,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,23
1/8/17,9:01:55,PM,2017,Multiple/Unknown Address,,,Pedestrian Stop,Special Investigation,Person,Black,Not Hispanic Or Latino,Male,18
1/8/17,9:01:55,PM,2017,Multiple/Unknown Address,,,Pedestrian Stop,Special Investigation,Person,Black,Not Hispanic Or Latino,Male,18
1/8/17,9:01:55,PM,2017,Multiple/Unknown Address,,,Pedestrian Stop,Special Investigation,Person,Black,Not Hispanic Or Latino,Male,19
1/8/17,9:01:55,PM,2017,Multiple/Unknown Address,,,Pedestrian Stop,Special Investigation,Person,Black,Unknown,Male,33
1/8/17,9:01:55,PM,2017,Multiple/Unknown Address,,,Pedestrian Stop,Special Investigation,Person,Black,Not Hispanic Or Latino,Male,Juvenile
1/8/17,9:01:55,PM,2017,Multiple/Unknown Address,,,Pedestrian Stop,Special Investigation,Person,Unknown,Unknown,Unknown,Unknown
1/8/17,10:36:29,PM,2017,2500 BLOCK OF 3RD STREET NE,5D,502,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,39
1/8/17,10:41:09,PM,2017,700 BLOCK OF 14TH STREET NW,2D,207,Vehicle Stop,Suspicious Activity,Person,White,Not Hispanic Or Latino,Male,49
1/8/17,11:12:46,PM,2017,4400 BLOCK OF 4TH ST NW,4D,407,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,22
1/8/17,11:12:46,PM,2017,4400 BLOCK OF 4TH ST NW,4D,407,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,25
1/8/17,11:12:46,PM,2017,4400 BLOCK OF 4TH ST NW,4D,407,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,25
1/9/17,2:57:01,AM,2017,4000 BLOCK OF 1ST STREET SE,7D,708,Vehicle Stop,Pre-existing Knowledge,Person,Black,Unknown,Female,26
1/9/17,3:26:18,AM,2017,3300 BLOCK OF WISCONSIN AVENUE NW,2D,204,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,33
1/9/17,3:26:18,AM,2017,3300 BLOCK OF WISCONSIN AVENUE NW,2D,204,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,Unknown
1/9/17,10:36:15,AM,2017,1200 BLOCK OF CLIFTON STREET NW,3D,304,Pedestrian Stop,Other,Person,Black,Unknown,Female,Juvenile
1/9/17,10:36:15,AM,2017,1200 BLOCK OF CLIFTON STREET NW,3D,304,Pedestrian Stop,Other,Person,Black,Unknown,Female,Juvenile
1/9/17,8:44:38,PM,2017,1400 BLOCK OF FAIRMONT STREET NW,3D,304,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Female,31
1/10/17,4:14:29,AM,2017,1300 BLOCK OF CONGRESS STREET SE,7D,705,Vehicle Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,30
1/10/17,7:24:39,AM,2017,1100 BLOCK OF BLADENSBURG ROAD NE,5D,506,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,52
1/10/17,8:16:18,PM,2017,600 BLOCK OF OGLETHORPE STREET NE,4D,406,Vehicle Stop,Pre-existing Knowledge,Person,Black,Not Hispanic Or Latino,Male,25
1/10/17,8:41:30,PM,2017,700 BLOCK OF KENNEDY STREET NE,4D,405,Vehicle Stop,Equipment Violation,Person,Black,Not Hispanic Or Latino,Male,28
1/10/17,8:41:30,PM,2017,700 BLOCK OF KENNEDY STREET NE,4D,405,Vehicle Stop,Equipment Violation,Person,Black,Not Hispanic Or Latino,Male,28
1/10/17,9:43:36,PM,2017,5200 BLOCK OF EASTERN AVENUE NE,4D,405,Vehicle Stop,Registration Violation,Person,Black,Not Hispanic Or Latino,Male,26
1/10/17,9:57:39,PM,2017,300 BLOCK OF LONGFELLOW STREET NW,4D,402,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,22
1/10/17,10:39:49,PM,2017,400 BLOCK OF MADISON STREET NE,4D,406,Vehicle Stop,Other,Person,Black,Unknown,Male,33
1/10/17,10:46:25,PM,2017,400 BLOCK OF JEFFERSON STREET NE,4D,405,Vehicle Stop,Other,Person,White,Not Hispanic Or Latino,Male,27
1/11/17,5:10:08,AM,2017,600 BLOCK OF PARK ROAD NW,3D,302,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,40
1/11/17,5:10:08,AM,2017,600 BLOCK OF PARK ROAD NW,3D,302,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,42
1/11/17,10:38:08,PM,2017,900 BLOCK OF EMERSON STREET NW,4D,407,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Female,48
1/11/17,10:38:08,PM,2017,900 BLOCK OF EMERSON STREET NW,4D,407,Pedestrian Stop,Suspicious Persons,Person,Black,Unknown,Female,55
1/11/17,10:38:08,PM,2017,900 BLOCK OF EMERSON STREET NW,4D,407,Pedestrian Stop,Suspicious Persons,Person,Black,Unknown,Male,67
1/12/17,1:04:06,PM,2017,,5D,503,Vehicle Stop,Pre-existing Knowledge,Person,Black,Unknown,Male,60
1/12/17,9:21:46,PM,2017,1500 BLOCK OF PENNSYLVANIA AVENUE SE,1D,108,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,32
1/13/17,2:50:47,AM,2017,1700 BLOCK OF CONNECTICUT AVENUE NW,2D,208,Vehicle Stop,Moving Violation,Person,White,Not Hispanic Or Latino,Male,33
1/13/17,12:27:20,PM,2017,3400 BLOCK OF 13TH STREET SE,7D,705,Pedestrian Stop,Other,Person,Black,Not Hispanic Or Latino,Male,45
1/13/17,6:21:29,PM,2017,1300 BLOCK OF C STREET NE,1D,108,Vehicle Stop,Registration Violation,Person,Black,Not Hispanic Or Latino,Female,29
1/14/17,12:05:30,AM,2017,500 BLOCK OF 12TH STREET NW,1D,101,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Male,47
1/14/17,7:51:09,PM,2017,1500 BLOCK OF P STREET NW,2D,208,Vehicle Stop,Moving Violation,Person,White,Unknown,Female,51
1/15/17,1:34:27,AM,2017,1300 BLOCK OF CONNECTICUT AVENUE NW,2D,208,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,42
1/15/17,1:52:37,AM,2017,3500 BLOCK OF WATER STREET NW,2D,206,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,23
1/15/17,5:47:22,AM,2017,600 BLOCK OF FLORIDA AVENUE NW,3D,306,Pedestrian Stop,Call For Service,Person,White,Unknown,Male,54
1/15/17,5:47:22,AM,2017,600 BLOCK OF FLORIDA AVENUE NW,3D,306,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,68
1/15/17,6:54:00,PM,2017,UNIT BLOCK OF BURNS STREET NE,6D,603,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,33
1/15/17,7:29:21,PM,2017,3700 BLOCK OF 9TH STREET NW,4D,404,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,25
1/15/17,8:48:11,PM,2017,1700 BLOCK OF E STREET SE,1D,108,Vehicle Stop,Equipment Violation,Person,White,Unknown,Female,22
1/15/17,8:48:11,PM,2017,1700 BLOCK OF E STREET SE,1D,108,Vehicle Stop,Equipment Violation,Person,Black,Not Hispanic Or Latino,Female,25
1/15/17,8:48:11,PM,2017,1700 BLOCK OF E STREET SE,1D,108,Vehicle Stop,Equipment Violation,Person,Unknown,Unknown,Female,27
1/15/17,9:15:10,PM,2017,900 BLOCK OF 12TH STREET SE,1D,106,Vehicle Stop,Moving Violation,Person,White,Not Hispanic Or Latino,Male,18
1/15/17,9:15:10,PM,2017,900 BLOCK OF 12TH STREET SE,1D,106,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,18
1/15/17,9:15:10,PM,2017,900 BLOCK OF 12TH STREET SE,1D,106,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,18
1/15/17,9:15:10,PM,2017,900 BLOCK OF 12TH STREET SE,1D,106,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,20
1/15/17,9:15:10,PM,2017,900 BLOCK OF 12TH STREET SE,1D,106,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,Juvenile
1/15/17,9:24:16,PM,2017,UNIT BLOCK OF P STREET SW,1D,105,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,18
1/15/17,9:24:16,PM,2017,UNIT BLOCK OF P STREET SW,1D,105,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,20
1/15/17,9:24:16,PM,2017,UNIT BLOCK OF P STREET SW,1D,105,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,20
1/15/17,9:24:16,PM,2017,UNIT BLOCK OF P STREET SW,1D,105,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,21
1/15/17,9:24:16,PM,2017,UNIT BLOCK OF P STREET SW,1D,105,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,23
1/15/17,9:24:16,PM,2017,UNIT BLOCK OF P STREET SW,1D,105,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,Juvenile
1/16/17,4:07:12,PM,2017,1800 BLOCK OF BENNING ROAD NE,5D,507,Pedestrian Stop,Other,Person,Black,Unknown,Male,47
1/16/17,7:11:06,PM,2017,400 BLOCK OF 19TH STREET NE,5D,507,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,33
1/17/17,10:51:31,PM,2017,1000 BLOCK OF I STREET NE,1D,104,Vehicle Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,43
1/17/17,10:51:31,PM,2017,1000 BLOCK OF I STREET NE,1D,104,Vehicle Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,44
1/18/17,3:21:05,AM,2017,3500 BLOCK OF M ST NW,2D,206,Vehicle Stop,Other,Person,White,Not Hispanic Or Latino,Male,26
1/18/17,1:45:18,PM,2017,2100 BLOCK OF WISCONSIN AVENUE NW,2D,204,Pedestrian Stop,Other,Person,White,Not Hispanic Or Latino,Male,23
1/18/17,1:45:18,PM,2017,2100 BLOCK OF WISCONSIN AVENUE NW,2D,204,Pedestrian Stop,Other,Person,White,Not Hispanic Or Latino,Male,Unknown
1/18/17,11:52:18,PM,2017,1500 BLOCK OF OGDEN STREET NW,4D,409,Vehicle Stop,Other,Person,Black,Not Hispanic Or Latino,Female,22
1/18/17,11:52:18,PM,2017,1500 BLOCK OF OGDEN STREET NW,4D,409,Vehicle Stop,Other,Person,Black,Unknown,Male,43
1/19/17,4:56:09,AM,2017,SOUTH CAPITOL STREET SE,1D,105,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,37
1/19/17,11:50:17,AM,2017,1100 BLOCK OF I STREET NE,1D,104,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,25
1/20/17,9:33:56,PM,2017,2500 BLOCK OF SOUTHERN AVENUE SE,7D,704,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,39
1/21/17,3:24:09,PM,2017,400 BLOCK OF RHODE ISLAND AVENUE NE,5D,502,Pedestrian Stop,Community Policing,Person,Black,Unknown,Male,51
1/21/17,3:24:09,PM,2017,400 BLOCK OF RHODE ISLAND AVENUE NE,5D,502,Pedestrian Stop,Community Policing,Person,Black,Unknown,Male,59
1/21/17,3:36:29,PM,2017,2200 BLOCK OF 4TH STREET NE,5D,502,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,33
1/21/17,3:46:07,PM,2017,400 BLOCK OF RHODE ISLAND AVENUE NE,5D,502,Pedestrian Stop,Community Policing,Person,Black,Unknown,Male,49
1/21/17,3:57:56,PM,2017,200 BLOCK OF 14TH STREET SW,2D,207,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,22
1/22/17,8:06:18,PM,2017,5000 BLOCK OF CENTRAL AVENUE SE,6D,604,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,20
1/22/17,8:06:18,PM,2017,5000 BLOCK OF CENTRAL AVENUE SE,6D,604,Pedestrian Stop,Call For Service,Person,Black,Unknown,Male,Juvenile
1/22/17,8:58:57,PM,2017,800 BLOCK OF RITTENHOUSE STREET NW,4D,402,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,40
1/22/17,8:58:57,PM,2017,800 BLOCK OF RITTENHOUSE STREET NW,4D,402,Vehicle Stop,Moving Violation,Person,Black,Unknown,Male,54
1/22/17,10:35:40,PM,2017,900 BLOCK OF 13TH STREET SE,1D,106,Pedestrian Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,19
1/23/17,12:47:25,AM,2017,4700 BLOCK OF UPTON STREET NW,2D,205,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,18
1/23/17,7:28:36,PM,2017,1400 BLOCK OF PENNSYLVANIA AVENUE SE,1D,108,Pedestrian Stop,Community Policing,Person,Black,Unknown,Male,50
1/23/17,8:17:17,PM,2017,,1D,108,Pedestrian Stop,Community Policing,Person,Black,Unknown,Male,57
1/23/17,10:10:49,PM,2017,1400 BLOCK OF CARROLLSBURG PLACE SW,1D,105,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Male,35
1/23/17,10:41:06,PM,2017,1000 BLOCK OF 12TH STREET SE,1D,106,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,31
1/24/17,4:50:25,PM,2017,500 BLOCK OF M STREET SE,1D,106,Vehicle Stop,Suspicious Activity,Person,Black,Unknown,Male,35
1/24/17,8:27:41,PM,2017,3200 BLOCK OF M STREET NW,2D,206,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,20
1/24/17,8:27:41,PM,2017,3200 BLOCK OF M STREET NW,2D,206,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,24
1/24/17,9:49:55,PM,2017,6300 BLOCK OF 8TH STREET NW,4D,402,Vehicle Stop,Equipment Violation,Person,Black,Unknown,Male,47
1/24/17,10:15:50,PM,2017,3500 BLOCK OF GEORGIA AVENUE NW,4D,409,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,56
1/24/17,10:19:02,PM,2017,3900 BLOCK OF GEORGIA AVENUE NW,4D,404,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,20
1/25/17,7:35:39,PM,2017,800 BLOCK OF QUINCY STREET NW,4D,404,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,24
1/25/17,10:03:37,PM,2017,1100 BLOCK OF 5TH STREET NE,1D,104,Pedestrian Stop,Suspicious Activity,Person,Black,Not Hispanic Or Latino,Male,18
1/25/17,10:03:37,PM,2017,1100 BLOCK OF 5TH STREET NE,1D,104,Pedestrian Stop,Suspicious Activity,Person,Black,Unknown,Male,Juvenile
1/25/17,11:01:55,PM,2017,4000 BLOCK OF KANSAS AVENUE NW,4D,404,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Female,33
1/25/17,11:01:55,PM,2017,4000 BLOCK OF KANSAS AVENUE NW,4D,404,Vehicle Stop,Moving Violation,Person,White,Unknown,Male,43
1/26/17,1:11:40,AM,2017,1800 BLOCK OF HARVARD STREET NW,3D,303,Pedestrian Stop,Other,Person,Black,Not Hispanic Or Latino,Male,21
1/26/17,2:58:18,AM,2017,200 BLOCK OF 35TH STREET NE,6D,603,Pedestrian Stop,Suspicious Persons,Person,Black,Not Hispanic Or Latino,Male,24
1/26/17,7:22:01,PM,2017,3400 BLOCK OF WATER STREET NW,2D,206,Vehicle Stop,Moving Violation,Person,White,Not Hispanic Or Latino,Male,20
1/26/17,8:46:24,PM,2017,900 BLOCK OF I STREET SE,1D,106,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,22
1/26/17,9:23:20,PM,2017,200 BLOCK OF DIVISION AVENUE NE,6D,602,Pedestrian Stop,Community Policing,Person,Black,Not Hispanic Or Latino,Male,43
1/26/17,11:08:19,PM,2017,3500 BLOCK OF GEORGIA AVENUE NW,4D,409,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,19
1/26/17,11:08:19,PM,2017,3500 BLOCK OF GEORGIA AVENUE NW,4D,409,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,20
1/27/17,5:40:26,AM,2017,1300 BLOCK OF 14TH STREET NW,2D,208,Vehicle Stop,Other,Person,Unknown,Unknown,Male,46
1/27/17,7:23:16,PM,2017,,4D,403,Pedestrian Stop,Call For Service,Person,Black,Not Hispanic Or Latino,Male,35
1/27/17,10:56:42,PM,2017,100 BLOCK OF Q STREET NW,5D,501,Pedestrian Stop,Suspicious Activity,Person,Unknown,Unknown,Male,Unknown
1/27/17,10:56:42,PM,2017,100 BLOCK OF Q STREET NW,5D,501,Pedestrian Stop,Suspicious Activity,Person,Unknown,Unknown,Male,Unknown
1/27/17,11:19:12,PM,2017,,,,Vehicle Stop,Moving Violation,Person,Black,Not Hispanic Or Latino,Male,35
